Year	iYear	iGDP	iL	iK	iQ	iX	iU	Country
1921	-29	0.670628161	NA	NA	0.809088815	0.80700425	0.534048393	AT
1922	-28	0.730847833	NA	NA	0.849583332	0.849245229	0.56605279	AT
1923	-27	0.723548479	NA	NA	0.807765929	0.805493425	0.54541285	AT
1924	-26	0.807491051	NA	NA	0.856356027	0.856156918	0.588002504	AT
1925	-25	0.862236207	NA	NA	0.842117449	0.841169449	0.601562841	AT
1926	-24	0.876834916	NA	NA	0.831794283	0.830396928	0.602529389	AT
1927	-23	0.903295074	NA	NA	0.87596427	0.875855509	0.646953725	AT
1928	-22	0.945266361	NA	NA	0.897044319	0.897967983	0.677666705	AT
1929	-21	0.95895265	NA	NA	0.944114256	0.947526763	0.719030608	AT
1930	-20	0.932492491	NA	NA	0.830812602	0.829885451	0.639214164	AT
1931	-19	0.857674111	NA	NA	0.812639799	0.811311069	0.61007788	AT
1932	-18	0.769169442	NA	NA	0.752722618	0.749409932	0.557458918	AT
1933	-17	0.743621703	NA	NA	0.731978757	0.727510261	0.553605621	AT
1934	-16	0.750008637	NA	NA	0.724959837	0.719925342	0.654115686	AT
1935	-15	0.764607346	NA	NA	0.72622699	0.720788852	0.573293025	AT
1936	-14	0.787417827	NA	NA	0.719584814	0.713906524	0.572530112	AT
1937	-13	0.829389114	NA	NA	0.760131811	0.754983989	0.60358521	AT
1938	-12	0.935229749	NA	NA	0.785525791	0.78119226	0.717788858	AT
1939	-11	1.060231188	NA	NA	0.95957852	0.961906536	0.925460312	AT
1940	-10	1.03285861	NA	NA	1.064923447	1.071279685	1.049009122	AT
1941	-9	1.106764571	NA	NA	1.07188899	1.077929575	1.075766298	AT
1942	-8	1.051106996	NA	NA	1.067270679	1.074175629	1.114776048	AT
1943	-7	1.076654735	NA	NA	1.08161884	1.090430843	1.197634465	AT
1944	-6	1.104027313	NA	NA	1.041049017	1.047475089	1.179125154	AT
1945	-5	0.456209633	NA	NA	0.509042621	0.493585311	0.408783829	AT
1946	-4	0.532852852	NA	NA	0.65133442	0.641244576	0.60080984	AT
1947	-3	0.587598008	NA	NA	0.745077714	0.736528385	0.685210022	AT
1948	-2	0.748183799	NA	NA	0.920407202	0.918706467	0.902010723	AT
1949	-1	0.889608785	NA	NA	0.98560554	0.985919308	0.962826598	AT
1950	0	1	1	1	1	1	1	AT
1951	1	1.068399346	1.000884565	1.086762894	1.079514497	1.080979699	1.119457109	AT
1952	2	1.069333126	1.00176913	1.145889335	1.072990298	1.073081569	1.112528263	AT
1953	3	1.11586647	1.002653695	1.179483486	1.09581528	1.096139427	1.212077343	AT
1954	4	1.229904288	1.00353826	1.238001306	1.180405069	1.183319012	1.341747116	AT
1955	5	1.365847016	1.004422825	1.335522142	1.234841045	1.239142692	1.489585438	AT
1956	6	1.459808575	1.00530739	1.415850208	1.285925772	1.292251346	1.617258948	AT
1957	7	1.54921796	1.006191955	1.505836314	1.324718333	1.33112624	1.709513604	AT
1958	8	1.605789433	1.00707652	1.599366485	1.290536722	1.29382653	1.712429838	AT
1959	9	1.651427904	1.007961085	1.695039862	1.330823705	1.33316932	1.849778065	AT
1960	10	1.787370633	1.00884565	1.841312604	1.459675214	1.46277246	2.037668946	AT
1961	11	1.882265972	0.999593687	2.008671757	1.47446078	1.477407459	2.16402615	AT
1962	12	1.927865536	0.990341723	2.175939846	1.545692082	1.549761519	2.307654387	AT
1963	13	2.006341919	0.98108976	2.345044117	1.60286004	1.610364274	2.459059636	AT
1964	14	2.126760563	0.971837796	2.531929778	1.628379306	1.63623711	2.651270297	AT
1965	15	2.187923119	0.962585833	2.72586208	1.642267256	1.648294326	2.716120243	AT
1966	16	2.311065287	0.953333869	2.938174925	1.693188282	1.698016075	2.843938161	AT
1967	17	2.381332192	0.944081906	3.142228355	1.75158027	1.755221002	2.882797124	AT
1968	18	2.487160532	0.934829942	3.347303068	1.819133898	1.825869844	3.0887659	AT
1969	19	2.643568594	0.899756936	3.560429109	1.957736424	1.964051836	3.281322275	AT
1970	20	2.831880787	0.891852359	3.799084675	2.111582538	2.11869622	3.543280903	AT
1971	21	2.976655513	0.886101069	4.080747324	2.142660889	2.15134545	3.669543475	AT
1972	22	3.161466034	0.885713176	4.403773216	2.189627334	2.200007372	3.802815387	AT
1973	23	3.315967629	0.884404455	4.715576908	2.316751184	2.328439829	4.050822377	AT
1974	24	3.446735663	0.874339926	5.03427341	2.35181371	2.357249935	4.153670497	AT
1975	25	3.434246362	0.844862184	5.315100309	2.286133914	2.290933906	4.12655429	AT
1976	26	3.591432573	0.836667169	5.60310385	2.37676017	2.38403665	4.446164347	AT
1977	27	3.759396156	0.838934193	5.905073862	2.341952228	2.345581872	4.453276024	AT
1978	28	3.745739631	0.83660159	6.17355898	2.414544821	2.418808415	4.591400765	AT
1979	29	3.950081706	0.836956652	6.449007547	2.528472706	2.534296632	4.869839087	AT
1980	30	4.041475372	0.837974317	6.729016143	2.493969784	2.498156831	4.729478596	AT
1981	31	4.037467901	0.839232679	6.990415684	2.424758377	2.425455577	4.654819413	AT
1982	32	4.1144658	0.824958906	7.198039136	2.409555627	2.407431014	4.509788918	AT
1983	33	4.22986538	0.813893808	7.394566348	2.431842435	2.430195519	4.556348763	AT
1984	34	4.24391098	0.809200903	7.593464639	2.510783553	2.509697946	4.715412544	AT
1985	35	4.339156486	0.804921752	7.809153675	2.588882501	2.585711156	4.856817762	AT
1986	36	4.440705004	0.812800197	8.035334694	2.561416999	2.557217101	4.797136614	AT
1987	37	4.515329546	0.813187582	8.2692664	2.660664221	2.653740775	5.130215672	AT
1988	38	4.658392343	0.813945046	8.52739826	2.783397837	2.768755641	5.081032768	AT
1989	39	4.855303089	0.819599065	8.81129454	2.81265666	2.798441072	5.312204121	AT
1990	40	5.076492102	0.834762894	9.119779062	2.75274219	2.745547534	5.502376024	AT
1991	41	5.259081084	0.849849427	9.208608043	2.859782331	2.854292239	5.696643681	AT
1992	42	5.383270771	0.863398034	9.460821016	2.815717476	2.803779473	5.415092911	AT
1993	43	5.401206833	0.85836559	9.69301767	2.882722487	2.867637123	5.565840533	AT
1994	44	5.54492814	0.846293589	9.946721267	2.894947233	2.879578874	5.725078472	AT
1995	45	5.650830991	0.815972943	10.18331274	3.028012276	3.012388818	6.159485859	AT
1996	46	5.798832988	0.829270667	10.4272231	3.132254268	3.120507088	6.342622026	AT
1997	47	5.905502577	0.782887384	10.67215564	3.136143333	3.124058512	6.650978586	AT
1998	48	6.11579343	0.789121108	10.93657318	3.172163177	3.159857112	6.738718816	AT
1999	49	6.318919792	0.794069546	11.21258715	3.224842678	3.208148857	6.741346113	AT
2000	50	6.53099556	0.801906019	11.51828932	3.21733862	3.200674273	6.806349952	AT
